DNS_Record,Domain_Age,Domain_Active
1,9940,1
1,6717,1
1,3979,1
1,8960,1
1,0,2
1,9666,1
1,6474,1
1,69,1
1,4281,1
1,10048,1
1,6962,1
1,3591,1
1,4281,1
1,8397,1
1,7547,1
1,8397,1
1,11500,1
1,6801,1
1,0,2
1,3249,1
1,4281,1
1,4281,1
1,10702,1
1,4281,1
1,9758,1
1,8896,1
1,6826,1
1,6146,1
1,2899,1
1,9351,1
1,5281,1
1,9351,1
1,0,2
1,0,2
1,6086,1
1,0,2
1,9959,1
1,0,2
1,9827,1
1,0,1
1,4281,1
1,6474,1
1,9236,1
1,4281,1
1,5057,1
1,11500,1
1,5281,1
1,0,2
1,9637,1
1,3640,1
1,9140,2
1,5531,1
1,6633,1
1,8960,1
1,5281,1
1,10702,1
1,9002,1
1,7547,1
1,9211,1
1,9838,1
1,7547,1
1,11500,1
1,6474,1
1,6785,1
1,6760,1
1,9140,1
1,10048,1
1,3611,1
1,4463,1
1,6214,1
1,6430,1
1,10702,1
1,0,2
1,5281,1
1,6714,1
1,4671,1
1,5057,1
1,5769,1
1,6592,1
1,11440,1
1,3591,1
1,9739,1
1,3640,1
1,0,1
1,10406,1
1,8785,1
1,3640,1
1,4671,1
1,6714,1
1,986,1
1,2856,1
1,0,2
1,6079,1
1,0,2
1,10457,1
1,4296,1
1,5912,1
1,6785,1
1,4554,1
1,5236,1
1,9666,1
1,5281,1
1,6554,1
1,9211,1
1,9838,1
1,0,2
1,8957,1
1,5092,1
1,5281,1
1,3611,1
1,986,1
1,5236,1
1,7223,1
1,6714,1
1,9607,1
1,5302,1
1,11500,1
1,5281,1
1,6173,1
1,9940,1
1,4281,1
1,9573,1
1,8483,1
1,6791,1
1,9619,1
1,9838,1
1,1990,1
1,6785,1
1,6785,1
1,6791,1
1,9016,1
1,0,2
1,6785,1
1,7624,1
1,10457,1
1,9140,1
1,6714,1
1,9838,1
1,4554,1
1,6633,1
1,7398,1
1,4671,1
1,8483,1
1,6214,1
1,6714,1
1,6785,1
1,5281,1
1,10702,1
1,5092,1
1,0,2
1,9211,1
1,4281,1
1,6633,1
1,8564,1
1,3640,1
1,5531,1
1,9666,1
1,8564,1
1,4281,1
1,6019,1
1,0,1
1,6785,1
1,10702,1
1,0,2
1,9140,1
1,7858,1
1,11500,1
1,8190,1
1,0,2
1,3249,1
1,4281,1
1,5769,1
1,4281,1
1,9765,1
1,6079,1
1,10048,1
1,4463,1
1,9637,1
1,9940,1
1,9666,1
1,4428,1
1,9016,1
1,0,2
1,6717,1
1,4554,1
1,5769,1
1,5281,1
1,4554,1
1,6785,1
1,10702,1
1,3905,1
1,5281,1
1,6760,1
1,5037,1
1,4463,1
1,3640,1
1,6633,1
1,10702,1
1,5281,1
1,6778,1
1,6801,1
1,69,1
1,9739,1
1,6714,1
1,11440,1
1,5531,1
1,3591,1
1,4296,1
1,5162,1
1,2899,1
1,0,1
1,4281,1
1,9682,1
1,6079,1
1,5531,1
1,9940,1
1,4296,1
1,6391,1
1,0,2
1,7148,1
1,4296,1
1,6717,1
1,6461,1
1,4428,1
1,0,2
1,10048,1
