Domain,Comb_5y_interest
superuser.com,2041
bdnews24.com,11617
codepen.io,9155
kakaku.com,8778
kienthuc.net.vn,3218
metro.co.uk,10798
hubpages.com,2896
tinnhanh360.net,1254
torcache.net,1300
nesn.com,4299
stackoverflow.com,8830
babal.net,1702
torcache.net,1300
twitter.com,15444
indianexpress.com,8096
twitter.com,15444
ap.org,2649
instagram.com,16422
kenh14.vn,7582
sfglobe.com,1964
torcache.net,1300
torcache.net,1300
mic.com,1729
torcache.net,1300
tunein.com,5669
udn.com,7851
fishki.net,9623
olx.ro,10485
buzzfil.net,2458
grantland.com,1778
thenextweb.com,2074
grantland.com,1778
maybank2u.com.my,8060
web.de,14799
syosetu.com,2094
kickass.to,4594
pitchfork.com,4458
seesaawiki.jp,1946
myspace.com,6451
gizmodo.com,3423
torcache.net,1300
hubpages.com,2896
slashdot.org,4743
torcache.net,1300
serverfault.com,1335
ap.org,2649
thenextweb.com,2074
ecnavi.jp,1781
aljazeera.net,11551
distractify.com,2039
abc.go.com,4188
themeforest.net,5633
mylust.com,6087
kakaku.com,8778
thenextweb.com,2074
mic.com,1729
medium.com,6694
indianexpress.com,8096
correios.com.br,10972
interpark.com,1237
indianexpress.com,8096
ap.org,2649
hubpages.com,2896
emgn.com,2256
quizlet.com,7924
abc.go.com,4188
nesn.com,4299
olx.ua,12001
nguyentandung.org,2201
mirtesen.ru,3408
techcrunch.com,2296
mic.com,1729
gov.uk,13708
thenextweb.com,2074
censor.net.ua,7925
plarium.com,3725
serverfault.com,1335
xhamster.com,13827
ck101.com,1349
rt.com,4725
babal.net,1702
jezebel.com,6351
distractify.com,2039
grantland.com,1778
housing.com,7571
arstechnica.com,2645
distractify.com,2039
plarium.com,3725
censor.net.ua,7925
bongda88.info,1509
torrentdn.com,1583
web.de,14799
steamcommunity.com,5654
seesaawiki.jp,1946
fortune.com,5652
bestblackhatforum.com,1986
olx.pl,11451
emgn.com,2256
askubuntu.com,1712
olx.co.id,5120
metro.co.uk,10798
thenextweb.com,2074
perezhilton.com,2185
correios.com.br,10972
interpark.com,1237
web.de,14799
allrecipes.com,11815
depositphotos.com,4178
thenextweb.com,2074
olx.ua,12001
bongda88.info,1509
olx.co.id,5120
moviepilot.com,1899
censor.net.ua,7925
nypost.com,6344
thechive.com,4369
ap.org,2649
thenextweb.com,2074
olx.in,9983
superuser.com,2041
torcache.net,1300
nymag.com,4290
allegro.pl,10160
otomoto.pl,9566
variety.com,4543
interpark.com,1237
tobogo.net,1487
emgn.com,2256
emgn.com,2256
otomoto.pl,9566
skyrock.com,6584
kenh14.vn,7582
emgn.com,2256
kotaku.com,4009
fortune.com,5652
abcnews.go.com,6096
censor.net.ua,7925
interpark.com,1237
askubuntu.com,1712
mylust.com,6087
pornsharing.com,2476
plarium.com,3725
allegro.pl,10160
mirtesen.ru,3408
censor.net.ua,7925
emgn.com,2256
thenextweb.com,2074
mic.com,1729
depositphotos.com,4178
atwiki.jp,1746
