URL,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Non-standard_Doubleslash,https_Domain,Shortened_URL,Hyphen_Count,Label
https://www.zoohanpro.com/wp-includes/login.php?cmd=login_submit&amp;id=b3e015a2b0613c9f09f228c0e2b5debab3e015a2b0613c9f09f228c0e2b5deba&amp;session=b3e015a2b0613c9f09f228c0e2b5debab3e015a2b0613c9f09f228c0e2b5deba,zoohanpro.com,0,0,213,2,0,1,0,0,1
http://dazul.com.ar/templates/as002022free/js/jscolors/dr.php,dazul.com.ar,0,0,61,5,0,0,0,0,1
https://www.spaceexperts.co.in/public/ckeditor/ckeditor/samples/old/assets/update.php,spaceexperts.co.in,0,0,85,7,0,1,0,0,1
https://sac24hrs.com/itau.atualize/cartoes/promocao/descontao/card/home.php,sac24hrs.com,0,0,75,6,0,1,0,0,1
https://www.restrepohenao.com.co/dt/index.php,restrepohenao.com.co,0,0,45,2,0,1,0,0,1
https://www.chikh-ali.com/wp-includes/accesst/wells,chikh-ali.com,0,0,51,3,0,1,0,1,1
http://phantaweemall.com/templates/beez3/W_rummer_mailman.html,phantaweemall.com,0,0,62,3,0,0,0,0,1
https://greatwizard.xyz/posts/paccoounnt/,greatwizard.xyz,0,0,41,2,0,1,0,0,1
https://ramrokaam.com/kk/Dhl/Dhl,ramrokaam.com,0,0,32,3,0,1,0,0,1
http://exler-karosserie.at/modules/mod_login/tmpl/src,exler-karosserie.at,0,0,53,4,0,0,0,1,1
http://box5674.temp.domains/~microsw2/file/docuSign/index.html,box5674.temp.domains,0,0,62,4,0,0,0,0,1
http://www.chinadryer.cn/pa,chinadryer.cn,0,0,27,1,0,0,0,0,1
http://taijishentie.com/js/index.htm?amp&amp;amp&amp;http:/us.battle.net/login/en?ref=http://bowaovvus.battle.net/d3/en/index,taijishentie.com,0,0,125,2,1,0,0,0,1
http://ulvis.net/r0K5,ulvis.net,0,0,21,1,0,0,0,0,1
http://email302.com/l/5fc15ea15e66c082e33c48babd5a8ff601a799e6/[email�protected]tageapp.com/-/www.paypal.com/cgi-bin,email302.com,0,0,116,6,0,0,0,0,1
https://www.hrpayrollsystem.it/DFAQSAQSDFGHUYTRFFGHGFDF/,hrpayrollsystem.it,0,0,56,1,0,1,0,0,1
https://auslaufen.com/wp-activate/home/access1.php?sslchannel=true&amp;sessionid==7s460NB6qQ1EujGelb8NB8gJ6zv0jo6VOhAl6L5oghKE5wycJ8D3EP366Ir104SHyX2b6qZj3AMrmZvi,auslaufen.com,0,0,162,3,0,1,0,0,1
http://r.assotlmc.com/tr/cl/spDSCqIXk1SI6ypzEe1k_Ys_yC53AeqX2fRc-PR_zP3RF19QuquSFp388Ew6Oag4n2QUJxTegcwpERBArV-TDdQS6lX0y7T7TvMUeCWMdP6VfR0HeSTpHwneDlfgJypt104ryD4fakGkskXhXBWwZAiGD7lw8Dr3eQwL2yUlQGwC2vSmO2ek7OSl429VG5O1fyKBUTyko0c,r.assotlmc.com,0,0,231,3,0,0,0,0,1
https://wellingtoncloud-my.sharepoint.com/personal/lynne_barron_eaglehouseschool_com/_layouts/15/WopiFrame.aspx?guestaccesstoken=5R%2fL6nH%2bT0nFKB7xwYnVZ8N1WumZ0WZ%2fpWKGrI5p6%2fs%3d&docid=1_192cb7c38faeb476cb58ce8f71598361c&wdFormId=%7B3E42BD82%2DB59E%2D403B%2D9998%2D0C2DD21BD5E6%7D&action=formsubmit,wellingtoncloud-my.sharepoint.com,0,0,303,5,0,1,0,1,1
https://thetopratedquadcopters.com/sbys/DHL33/D2017HL/u.php,thetopratedquadcopters.com,0,0,59,4,0,1,0,0,1
http://provenancegifts.com/wp-admin/includes/ourtimesort/tjjunior/,provenancegifts.com,0,0,66,4,0,0,0,0,1
http://fr57f6yg.gb.net/boa/login.php?cmd=login_submit&id=30fe31ea1ce6571b37beb4468cb9498330fe31ea1ce6571b37beb4468cb94983&session=30fe31ea1ce6571b37beb4468cb9498330fe31ea1ce6571b37beb4468cb94983,fr57f6yg.gb.net,0,0,194,2,0,0,0,0,1
