DNS_Record,Domain_Age,Domain_Active
0,1,1
1,3163,1
1,3998,1
0,1,1
1,1804,1
0,1,1
1,2927,0
1,0,2
0,1,1
1,0,2
1,2207,1
1,3978,1
1,5858,1
1,2647,1
1,1715,1
1,1924,1
1,340,1
1,2649,1
1,8935,1
1,2128,1
1,1836,1
0,1,1
1,2759,1
1,2796,1
0,1,1
0,1,1
0,1,1
1,238,1
0,1,1
1,4041,1
1,9264,1
1,3057,1
1,0,2
0,1,1
1,5301,1
1,3120,1
0,1,1
1,2451,1
0,1,1
1,10159,1
1,3726,1
1,0,2
1,2365,1
0,1,1
0,1,1
1,8047,1
0,1,1
1,0,2
1,2721,1
1,1276,1
1,4275,1
1,3670,1
0,1,1
0,1,1
0,1,1
1,8935,1
1,0,1
1,5164,1
1,0,2
1,0,2
1,6778,1
1,6412,1
1,0,2
1,2866,1
0,1,1
1,6188,1
0,1,1
1,73,1
1,5683,1
1,3057,1
1,9068,0
1,3452,1
1,2912,1
1,4111,1
1,4846,1
1,0,2
1,9264,1
0,1,1
0,1,1
1,2879,1
0,1,1
1,5271,1
1,8884,1
1,0,2
1,0,2
1,3406,1
1,3048,1
1,5118,1
1,2727,1
1,0,2
1,0,1
1,8935,1
1,6370,1
0,1,1
1,626,1
1,2201,1
0,1,1
1,3120,1
0,1,1
1,4052,1
1,0,2
1,7392,1
1,2715,1
1,0,2
0,1,1
0,1,1
0,1,1
1,2341,1
1,0,2
0,1,1
1,5525,1
0,1,1
1,2994,1
1,9264,1
1,5128,1
1,71,1
0,1,1
1,5169,1
1,514,1
0,1,1
1,1386,1
0,1,1
0,1,1
1,0,2
0,1,1
1,8660,1
0,1,1
1,5370,1
1,0,2
1,8884,1
0,1,1
1,3807,1
1,2451,1
1,2592,1
0,1,1
0,1,1
1,2658,1
0,1,1
1,3220,1
1,0,2
1,2282,1
0,1,1
1,25,1
0,1,1
1,0,2
1,5805,1
1,3397,1
1,2018,1
0,1,1
1,9264,1
0,1,1
1,0,2
1,8682,1
0,1,1
1,3495,1
0,1,1
1,2290,1
1,0,2
1,0,2
1,1730,1
1,45,1
1,7829,1
1,0,2
1,4941,1
0,1,1
1,3869,1
1,2857,1
1,1401,1
0,1,1
1,0,2
1,3962,1
1,4941,1
1,3046,1
1,0,2
1,138,1
1,623,1
1,2949,1
1,8459,1
1,0,2
1,0,2
1,2759,1
1,2296,1
1,1337,1
0,1,1
1,1232,1
1,5759,1
1,4686,1
1,9264,1
1,0,2
1,0,2
0,1,1
0,1,1
1,5089,1
0,1,1
0,1,1
1,3764,1
1,4276,1
0,1,1
1,2738,1
1,1386,1
1,5472,1
1,189,1
1,2150,1
1,365,0
1,5208,1
1,589,1
1,0,2
1,0,2
0,1,1
0,1,1
1,0,2
0,1,1
1,1818,1
1,0,2
1,0,2
1,196,1
0,1,1
0,1,1
0,1,1
1,0,2
1,0,2
1,0,2
1,3717,1
1,0,2
1,9264,1
1,0,2
1,8935,1
1,6484,1
0,1,1
0,1,1
1,6428,1
1,0,2
0,1,1
1,8935,1
1,2040,1
1,5436,1
1,1813,1
1,3851,1
0,1,1
1,194,1
0,1,1
1,5123,1
1,0,2
0,1,1
0,1,1
1,6202,1
1,5301,1
1,5033,1
1,1718,1
1,2590,1
1,9022,1
1,165,1
0,1,1
0,1,1
1,0,2
1,0,2
0,1,1
1,1778,1
1,5366,1
1,5293,1
1,4802,1
1,0,2
1,5366,1
1,0,2
1,442,1
1,3122,1
1,0,2
1,0,2
1,998,1
0,1,1
1,3057,1
1,0,2
1,4198,1
1,3490,1
1,169,1
0,1,1
1,8935,1
1,9264,1
0,1,1
0,1,1
0,1,1
1,0,2
1,8107,1
1,0,2
1,3244,1
1,0,2
1,0,2
1,7829,1
1,5434,1
1,7752,1
1,224,1
0,1,1
1,6902,1
0,1,1
1,3204,1
1,0,2
1,1343,1
1,2975,1
1,0,2
1,272,1
0,1,1
0,1,1
1,2137,1
1,1269,1
1,0,2
1,3468,1
1,5571,1
1,9264,1
0,1,1
0,1,1
0,1,1
1,9264,1
0,1,1
1,0,2
1,5482,1
1,150,1
1,1279,1
1,2255,1
1,216,1
1,0,2
0,1,1
1,2685,1
1,3925,1
1,1232,1
0,1,1
0,1,1
1,8935,1
1,17,1
1,4501,1
0,1,1
0,1,1
1,0,2
1,4197,1
0,1,1
1,1064,1
1,7744,1
0,1,1
1,0,2
0,1,1
1,0,2
1,2184,1
1,2874,1
1,1571,1
1,8095,1
0,1,1
1,258,1
1,1933,1
1,6512,1
1,2574,2
0,1,1
1,2255,1
1,6747,1
1,7981,1
1,0,2
1,5888,1
0,1,1
1,4875,1
1,0,2
0,1,1
1,4831,1
1,2079,1
1,8539,1
0,1,1
0,1,1
1,0,2
1,0,2
0,1,1
1,2451,1
1,3437,1
1,126,1
0,1,1
0,1,1
0,1,1
1,0,2
0,1,1
1,2184,1
1,8935,1
1,0,2
1,8935,1
0,1,1
1,5399,1
1,2387,1
1,3232,1
1,0,2
1,0,2
1,5928,1
1,2756,1
1,0,2
1,9,1
1,8682,1
0,1,1
1,5015,1
0,1,1
1,0,1
1,1420,1
1,5526,1
1,2939,1
1,4885,1
0,1,1
0,1,1
1,1885,1
1,5410,1
1,3487,1
1,2341,1
1,5385,1
0,1,1
0,1,1
1,2970,1
1,345,1
0,1,1
1,0,2
0,1,1
0,1,1
1,4649,1
1,6734,1
1,4320,1
0,1,1
0,1,1
1,507,1
1,9628,1
0,1,1
0,1,1
1,0,2
1,0,2
1,2409,1
1,0,2
1,716,1
1,2423,1
0,1,1
0,1,1
0,1,1
0,1,1
1,2175,1
1,0,2
0,1,1
1,0,2
1,6650,1
0,1,1
0,1,1
1,3618,1
1,7554,1
1,8798,1
1,8935,1
0,1,1
1,0,2
1,1222,1
1,2236,1
1,0,2
1,1476,1
1,1650,1
1,2451,1
1,0,1
1,3802,1
1,1776,1
1,4507,1
0,1,1
1,9834,1
1,2286,1
1,4595,1
1,8935,1
1,2191,0
1,0,2
1,0,2
1,1232,1
0,1,1
1,9264,1
1,2180,1
1,2451,1
1,0,2
0,1,1
1,1275,1
1,1112,1
1,3321,1
1,5293,1
0,1,1
1,0,2
1,653,1
0,1,1
0,1,1
0,1,1
1,3496,1
1,1933,1
1,4671,1
0,1,1
1,2642,1
1,0,2
1,4641,1
1,0,2
0,1,1
1,5106,1
1,2408,1
1,1260,1
1,6202,1
0,1,1
